,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,population,population_density,median_age,gdp_per_capita,cvd_death_rate,continent,day,month,year
45,NZL,New Zealand,01/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4822233.0,18.206,37.9,36085.843,128.797,Oceania,1.0,1.0,2020.0
46,NGA,Nigeria,01/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206139587.0,209.588,18.1,5338.454000000001,181.013,Africa,1.0,1.0,2020.0
47,NOR,Norway,01/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5421242.0,14.462,39.7,64800.057,114.316,Europe,1.0,1.0,2020.0
48,OMN,Oman,01/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5106622.0,14.98,30.7,37960.709,266.342,Asia,1.0,1.0,2020.0
49,PAK,Pakistan,01/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220892331.0,255.57299999999998,23.5,5034.708,423.031,Asia,1.0,1.0,2020.0
50,PHL,Philippines,30/01/20,1.0,1.0,0.0,0.0,0.009000000000000001,0.009000000000000001,0.0,0.0,109581085.0,351.87300000000005,25.2,7599.188,370.43699999999995,Asia,30.0,1.0,2020.0
51,QAT,Qatar,01/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2881060.0,227.322,31.9,116935.6,176.69,Asia,1.0,1.0,2020.0
52,ROU,Romania,01/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19237682.0,85.12899999999999,43.0,23313.199,370.94599999999997,Europe,1.0,1.0,2020.0
53,RUS,Russia,01/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145934460.0,8.823,39.6,24765.953999999998,431.29699999999997,Europe,1.0,1.0,2020.0
54,SMR,San Marino,01/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33938.0,556.6669999999999,,56861.47,,Europe,1.0,1.0,2020.0
55,SGP,Singapore,31/01/20,13.0,3.0,0.0,0.0,2.222,0.513,0.0,0.0,5850343.0,7915.731,42.4,85535.383,92.243,Asia,31.0,1.0,2020.0
56,KOR,South Korea,31/01/20,7.0,3.0,0.0,0.0,0.13699999999999998,0.059000000000000004,0.0,0.0,51269183.0,527.967,43.4,35938.373999999996,85.99799999999999,Asia,31.0,1.0,2020.0
57,ESP,Spain,01/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46754783.0,93.105,45.5,34272.36,99.40299999999999,Europe,1.0,1.0,2020.0
58,LKA,Sri Lanka,28/01/20,1.0,1.0,0.0,0.0,0.047,0.047,0.0,0.0,21413250.0,341.955,34.1,11669.077,197.093,Asia,28.0,1.0,2020.0
59,SWE,Sweden,01/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10099270.0,24.718000000000004,41.0,46949.282999999996,133.982,Europe,1.0,1.0,2020.0
60,CHE,Switzerland,01/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8654618.0,214.243,43.1,57410.166,99.73899999999999,Europe,1.0,1.0,2020.0
61,TWN,Taiwan,31/01/20,9.0,1.0,0.0,0.0,0.37799999999999995,0.042,0.0,0.0,23816775.0,,42.2,,103.95700000000001,Asia,31.0,1.0,2020.0
62,THA,Thailand,28/01/20,14.0,6.0,0.0,0.0,0.201,0.086,0.0,0.0,69799978.0,135.132,40.1,16277.671,109.861,Asia,28.0,1.0,2020.0
63,ARE,United Arab Emirates,30/01/20,4.0,3.0,0.0,0.0,0.40399999999999997,0.303,0.0,0.0,9890400.0,112.44200000000001,34.0,67293.483,317.84,Asia,30.0,1.0,2020.0
64,GBR,United Kingdom,31/01/20,2.0,2.0,0.0,0.0,0.028999999999999998,0.028999999999999998,0.0,0.0,67886004.0,272.89799999999997,40.8,39753.244,122.137,Europe,31.0,1.0,2020.0
65,USA,United States,31/01/20,6.0,1.0,0.0,0.0,0.018000000000000002,0.003,0.0,0.0,331002647.0,35.608000000000004,38.3,54225.445999999996,151.089,Americas,31.0,1.0,2020.0
66,VNM,Vietnam,31/01/20,5.0,3.0,0.0,0.0,0.051,0.031,0.0,0.0,97338583.0,308.127,32.6,6171.884,245.465,Asia,31.0,1.0,2020.0
